Creature,Attack,Defence,Speed,HP
0,7.043432,4.80834,3.497912,4.148315
1,4.940713,5.30205,4.254064,2.909347
2,4.051958,7.449325,4.768418,6.412148
3,6.073702,8.834323,4.883875,4.814351
4,6.009669,6.530442,5.369921,2.371876
5,4.751774,4.376856,4.829662,5.703323
6,5.349246,3.841316,6.097591,4.325243
7,4.709493,5.753103,6.19437,7.874212
8,5.117266,3.920255,5.287175,6.003782
9,5.225646,3.587267,5.617785,2.998015
10,5.312581,7.96133,4.883875,3.895357
11,4.833654,4.750072,4.39555,3.514269
12,5.67392,7.282819,5.016572,4.31548
13,5.806911,8.849234,4.15621,6.490084
14,6.798007,5.656979,4.886531,3.075648
15,6.12052,5.30205,5.505125,3.275505
16,6.419846,4.825092,6.579043,4.239624
17,7.276622,6.589889,4.167731,5.043138
18,4.974721,5.643667,3.591606,4.241153
19,5.562747,8.849234,4.889046,4.814351
20,6.151423,6.510091,5.699403,2.767804
21,6.692116,6.746916,3.566059,4.121224
22,5.076973,5.882398,4.351285,5.347322
23,5.225646,3.587267,5.617785,2.998015
24,4.940713,6.322055,4.724646,2.771388
25,6.632098,4.187148,3.31772,2.938505
26,5.676415,7.244913,4.732098,5.76123
27,5.340495,8.834323,5.243357,4.177521
28,7.835452,7.362638,4.141946,4.020482
29,6.181161,6.41266,5.031013,4.121224
30,5.077951,7.87356,5.248527,4.720732
31,5.19157,8.849234,4.15621,4.434647
32,5.312581,7.96133,4.883875,3.895357
33,6.745999,6.589889,4.167731,4.198581
34,6.421355,4.958503,3.868798,3.586626
35,5.312581,5.724071,6.245258,4.140524
36,5.497163,4.590372,3.957616,4.02319
37,5.312581,7.96133,4.889046,4.814351
38,5.979362,6.619216,4.413294,4.543679
39,6.728354,8.078604,2.922025,4.314284
40,6.008341,7.96133,5.485548,4.263808
41,6.68646,8.834323,4.732098,5.238444
42,6.149848,6.281648,6.19437,4.644862
43,7.043432,4.80834,3.497912,4.148315
44,4.890001,6.589889,3.566059,3.895357
45,6.380643,7.96133,4.757883,6.157438
46,6.501631,7.244913,5.031013,4.085497
47,5.678949,8.834323,4.85809,5.238444
48,6.031153,6.460641,4.138379,4.368918
49,6.51114,7.96133,4.889046,6.490084
50,5.982232,7.244913,4.732098,5.227192
51,6.257315,8.179298,4.167731,4.263808
52,5.312581,7.96133,4.883875,3.895357
53,5.588623,6.895749,3.106355,5.657372
54,5.312581,7.96133,4.883875,3.895357
55,6.673992,3.964641,3.497912,4.368918
56,5.312581,7.96133,4.883875,3.895357
57,4.538407,7.244913,4.752712,4.509591
58,7.965948,6.39775,4.67376,3.83013
59,5.312581,7.96133,4.883875,3.895357
60,6.786148,6.615093,3.894583,5.284956
61,6.073702,8.834323,4.889046,5.777735
62,6.22432,5.753103,5.015483,5.994926
63,6.144772,7.96133,4.889046,5.146996
64,5.548452,8.834323,4.726927,5.238444
65,7.557687,6.498445,4.67376,6.501336
66,5.678949,7.96133,4.883875,5.238444
67,5.312581,7.96133,4.883875,3.895357
68,7.835452,4.80834,5.249648,4.02319
69,5.678949,7.96133,4.883875,3.895357
70,6.450589,7.96133,4.889046,3.884105
71,5.678949,8.834323,4.85809,3.895357
72,5.678949,8.834323,4.85809,3.895357
73,5.373132,7.96133,4.85809,6.501336
74,6.257315,8.677297,5.459763,5.238444
75,7.965948,6.996443,4.883875,3.83013
76,5.453738,7.57998,4.112595,6.326576
77,5.312581,7.96133,4.883875,3.895357
78,7.965948,5.782479,4.883875,3.83013
79,6.919401,8.179298,4.883875,5.173218
80,5.678949,8.834323,4.883875,6.490084
81,5.678949,7.96133,4.883875,3.895357
82,5.312581,8.834323,4.85809,3.895357
83,5.678949,8.834323,4.85809,3.895357
84,6.51114,7.96133,4.889046,6.490084
85,5.678949,8.834323,4.883875,3.895357
86,7.22829,6.39775,4.647975,3.895357
87,3.247398,5.550703,4.883875,3.884105
88,5.373132,8.834323,4.85809,5.238444
89,6.816957,8.834323,4.883875,6.490084
90,5.678949,8.834323,4.85809,3.895357
91,6.51114,7.96133,4.863261,6.490084
92,7.225218,7.463332,4.647975,3.895357
93,6.816957,7.96133,4.883875,3.895357
94,5.373132,7.96133,4.85809,6.501336
95,5.678949,7.96133,4.883875,6.501336
96,5.678949,8.336326,4.85809,3.895357
97,5.820106,8.195668,4.601147,4.543679
98,5.312581,7.96133,4.883875,3.895357
99,5.806911,7.96133,4.15621,6.490084
100,7.225218,7.860636,4.67376,3.895357
101,5.678949,7.96133,4.883875,3.895357
102,6.816957,7.96133,4.883875,5.146996
103,6.816957,8.834323,4.883875,6.490084
104,5.678949,7.96133,4.85809,3.895357
105,5.678949,8.834323,4.85809,3.895357
106,5.312581,7.96133,4.883875,6.501336
107,7.962876,6.554778,4.67376,3.818878
108,5.373132,7.96133,4.883875,6.490084
109,5.373132,7.96133,4.85809,3.83013
110,6.51114,7.96133,4.863261,3.884105
111,5.312581,7.96133,4.883875,3.895357
112,5.312581,8.849234,4.85809,3.895357
113,5.678949,7.96133,4.883875,3.895357
114,5.678949,7.96133,4.85809,5.238444
115,5.678949,8.834323,4.883875,6.490084
116,5.678949,7.96133,4.85809,6.501336
117,5.373132,7.96133,4.85809,6.501336
118,5.678949,6.554778,4.85809,3.895357
119,7.225218,8.336326,4.85809,6.501336
120,5.678949,8.834323,4.883875,5.146996
121,5.678949,7.96133,4.883875,5.238444
122,7.225218,7.96133,4.647975,3.895357
123,5.312581,7.96133,4.883875,6.501336
124,5.312581,7.96133,4.85809,3.895357
125,7.225218,7.463332,4.15104,3.895357
126,5.678949,7.96133,4.883875,3.895357
127,5.373132,7.96133,4.883875,3.895357
128,7.225218,7.463332,4.647975,3.895357
129,6.816957,8.834323,4.883875,6.501336
130,5.678949,7.96133,4.85809,3.895357
131,5.373132,7.96133,4.883875,6.490084
132,7.225218,7.96133,4.647975,3.895357
133,5.678949,7.96133,4.85809,3.895357
134,7.225218,7.96133,4.85809,6.501336
135,6.51114,7.96133,4.85809,6.490084
136,7.225218,7.96133,4.85809,3.895357
137,6.816957,6.554778,4.883875,6.501336
138,5.678949,8.336326,4.883875,6.501336
139,5.678949,8.078604,4.647975,3.895357
140,5.373132,8.834323,4.85809,5.158249
141,5.312581,7.96133,4.85809,3.895357
142,6.820029,6.280477,4.883875,3.895357
143,5.312581,4.242537,4.626932,4.93005
144,5.678949,7.96133,4.85809,3.895357
145,7.22829,6.39775,4.85809,3.895357
146,7.225218,8.834323,4.85809,6.501336
147,6.51114,7.96133,4.15621,6.490084
148,5.312581,7.96133,4.883875,3.895357
149,7.225218,7.860636,4.67376,5.146996
150,6.51114,7.96133,4.889046,6.490084
151,5.678949,7.96133,4.85809,3.895357
152,5.678949,7.96133,4.15104,6.490084
153,6.51114,7.96133,4.889046,6.490084
154,5.678949,7.96133,4.647975,6.501336
155,5.312581,6.39775,4.647975,5.238444
156,5.373132,7.96133,4.15621,3.895357
157,6.51114,8.834323,4.883875,6.490084
158,5.682021,7.463332,4.85809,3.895357
159,5.678949,8.834323,4.85809,3.895357
160,5.312581,7.96133,4.883875,5.238444
161,6.816957,7.96133,4.85809,5.238444
162,7.225218,8.834323,4.883875,6.501336
163,6.816957,7.96133,4.883875,3.895357
164,5.373132,8.336326,4.85809,5.238444
165,5.678949,7.15347,4.85809,3.895357
166,6.816957,7.96133,4.883875,3.895357
167,7.225218,7.96133,4.67376,3.895357
168,5.678949,8.834323,4.883875,6.501336
169,5.678949,7.96133,4.85809,6.501336
170,6.51114,7.96133,4.863261,6.490084
171,5.006764,7.96133,4.883875,5.158249
172,6.816957,7.96133,4.15104,3.884105
173,5.678949,8.235631,4.85809,3.895357
174,5.678949,7.96133,4.647975,5.158249
175,5.682021,6.996443,4.647975,5.238444
176,6.85885,7.463332,4.85809,3.895357
177,5.373132,7.96133,4.883875,5.238444
178,5.312581,7.96133,4.883875,3.895357
179,6.816957,7.96133,4.85809,5.238444
180,5.373132,7.96133,4.85809,3.895357
181,5.312581,7.96133,4.85809,3.895357
182,5.678949,8.834323,4.85809,5.158249
183,6.816957,7.96133,4.653146,5.227192
184,5.678949,7.96133,4.883875,5.158249
185,5.678949,8.733629,4.67376,5.158249
186,5.678949,6.996443,4.85809,3.895357
187,5.678949,7.15347,4.647975,6.501336
188,5.312581,7.96133,4.85809,3.895357
189,7.22829,5.782479,4.67376,3.895357
190,6.816957,8.834323,4.85809,6.490084
191,5.373132,8.834323,4.85809,5.158249
192,6.51114,7.463332,4.85809,5.238444
193,5.678949,7.96133,4.85809,5.238444
194,5.678949,7.96133,4.85809,6.490084
195,6.816957,6.895749,4.647975,6.490084
196,5.678949,7.15347,4.85809,5.158249
197,5.312581,7.96133,4.883875,3.884105
198,5.373132,8.834323,4.889046,6.490084
199,6.816957,8.834323,4.85809,3.895357
200,5.373132,7.96133,4.85809,6.490084
201,6.816957,7.96133,4.883875,6.501336
202,5.678949,8.834323,4.85809,3.895357
203,5.678949,8.834323,4.883875,5.146996
204,5.312581,7.96133,4.85809,5.238444
205,6.816957,8.677297,4.647975,3.884105
